id_origen;fila_original;fecha;nombre;importe_eur;tipo;categoria_principal;subcategoria;contexto;plataforma;viaje_proyecto;recurrente;fiscal_piso_malaga;categoria_original;nota_migracion
mov-001025;1026;2024-08-28;Balon par furbo;-2.00;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-001026;1027;2024-08-28;Platanos;-1.20;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-001027;1028;2024-08-27;Gasofa;-38.00;Gasto;Transporte;Coche;Personal;;;No;No aplica;Transporte;
mov-001028;1029;2024-08-27;Pickeball;-3.50;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-001029;1030;2024-08-25;Venta;-9.15;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001030;1031;2024-08-25;100m;-4.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001031;1032;2024-08-24;Pollo;-4.50;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-001032;1033;2024-08-24;Churros;-4.60;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001033;1034;2024-08-24;Food;-2.58;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001034;1035;2024-08-24;Food;-7.50;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001035;1036;2024-08-23;Autobus feria;-4.00;Gasto;Transporte;Bus y metro;Personal;;;No;No aplica;Transporte;
mov-001036;1037;2024-08-23;Ladron de verano;-2.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001037;1038;2024-08-23;Gasolina;-20.00;Gasto;Transporte;Coche;Personal;;;No;No aplica;Transporte;
mov-001038;1039;2024-08-23;Campero;-7.50;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001039;1040;2024-08-22;Campero;-5.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001040;1041;2024-08-21;Buses feria;-4.24;Gasto;Transporte;Bus y metro;Personal;;;No;No aplica;Transporte;
mov-001041;1042;2024-08-20;Mercadona alitas y fruta;-8.62;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-001042;1043;2024-08-20;Alquiler 1 al 12 agosto;1268.46;Ingreso;Piso Málaga;Ingreso alquiler;Piso Málaga;Directo/Otro;;No;Ingreso del inmueble;Alquiler;
mov-001043;1044;2024-08-19;Bombilla piso;-3.40;Gasto;Piso Málaga;Mantenimiento y reparaciones;Piso Málaga;;;No;Gasto del inmueble - revisar deducibilidad;Utilities;
mov-001044;1045;2024-08-19;Cine Alien;-10.50;Gasto;Ocio;Cultura y eventos;Personal;;;No;No aplica;Actividades;
mov-001045;1046;2024-08-18;Efectivo gasolina;-30.00;Gasto;Transporte;Coche;Personal;;;No;No aplica;Transporte;
mov-001046;1047;2024-08-18;Gasofa;-20.00;Gasto;Transporte;Coche;Personal;;;No;No aplica;Transporte;
mov-001047;1048;2024-08-16;Pa la tortilla de patatas;-4.40;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-001048;1049;2024-08-12;Regalo cumple maria;-5.00;Gasto;Compras;Regalos;Personal;;;No;No aplica;Shopping;
mov-001049;1050;2024-08-12;Gasofa a benahavis;-5.00;Gasto;Transporte;Coche;Personal;;;No;No aplica;Transporte;
